,Date Added,Album Title,Artist Name,Track,Popularity,Tempo,Danceability,Energy,Instrumentalness,Valence,Genre
0,2019-10-04,SuperM - The 1st Mini Album,SuperM,2 Fast,64,130.04,0.468,0.737,0.0,0.496,k-pop
1,2019-10-04,SuperM - The 1st Mini Album,SuperM,No Manners,65,140.005,0.673,0.632,0.000111,0.377,k-pop
2,2019-10-04,City Lights - The 1st Mini Album,BAEKHYUN,Ice Queen,55,105.027,0.643,0.797,0.0,0.513,k-pop
3,2019-10-04,City Lights - The 1st Mini Album,BAEKHYUN,UN Village,70,83.985,0.674,0.589,0.0,0.577,k-pop
4,2019-10-04,Purple,SOHLHEE,Purple,51,112.042,0.756,0.661,0.0,0.326,
5,2019-10-04,NCT #127 - The 1st Mini Album,NCT 127,Another World,46,139.97,0.723,0.872,0.0,0.895,k-pop
6,2019-10-04,NCT#127 LIMITLESS - The 2nd Mini Album,NCT 127,Baby Don’t Like It 나쁜 짓,0,96.711,0.699,0.555,0.0,0.374,k-pop
7,2019-10-04,NCT#127 LIMITLESS - The 2nd Mini Album,NCT 127,無限的我 무한적아; LIMITLESS,0,78.216,0.614,0.747,0.0,0.538,k-pop
8,2019-10-07,Long Flight,TAEYONG,Long Flight,63,148.065,0.688,0.861,1.47e-06,0.875,
9,2019-10-07,Chain,NCT 127,Chain,54,140.056,0.6,0.961,0.0,0.74,k-pop
10,2019-10-07,DON’T MESS UP MY TEMPO – The 5th Album,EXO,Tempo,70,115.944,0.686,0.842,0.0,0.519,k-pop
11,2019-10-07,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Regular - English Version,68,134.039,0.741,0.747,5.15e-06,0.831,k-pop
12,2019-10-07,NCT #127 Regular-Irregular - The 1st Album,NCT 127,Regular - Korean Version,58,133.998,0.733,0.801,0.0,0.878,k-pop
13,2019-10-07,The 2nd Mini Album '중독 Overdose',EXO-K,Thunder,0,97.98,0.722,0.771,0.0,0.773,k-pop
14,2019-10-16,EX'ACT - The 3rd Album,EXO,Heaven,0,91.982,0.696,0.844,0.0,0.761,k-pop
15,2019-10-16,EX'ACT - The 3rd Album,EXO,They Never Know,0,129.896,0.611,0.796,0.0,0.485,k-pop
16,2019-10-16,Press It - The 1st Album,TAEMIN,Drip Drop,0,111.972,0.716,0.869,0.0,0.512,k-pop
17,2019-11-22,INTL:EP,PRETTYMUCH,Up to You (feat. NCT DREAM),63,115.925,0.719,0.803,0.0,0.719,boy band
18,2019-11-27,OBSESSION - The 6th Album,EXO,Obsession,81,129.992,0.704,0.729,0.0,0.71,k-pop
19,2019-11-27,OBSESSION - The 6th Album,EXO,Groove,70,98.022,0.628,0.801,1.22e-06,0.44,k-pop
20,2019-11-27,OBSESSION - The 6th Album,EXO,Ya Ya Ya,69,205.177,0.369,0.772,0.0,0.491,k-pop
21,2019-11-27,OBSESSION - The 6th Album,EXO,Baby You Are,69,107.935,0.768,0.778,0.0,0.784,k-pop
22,2019-11-27,OBSESSION - The 6th Album,EXO,Non Stop,68,116.007,0.729,0.887,0.0,0.602,k-pop
23,2019-11-27,OBSESSION - The 6th Album,EXO,Obsession - Chinese Version,64,130.039,0.688,0.739,0.0,0.734,k-pop
24,2019-11-27,OBSESSION - The 6th Album,EXO,Day After Day,67,102.941,0.397,0.675,0.0,0.452,k-pop
25,2019-11-27,OBSESSION - The 6th Album,EXO,Obsession,81,129.992,0.704,0.729,0.0,0.71,k-pop
26,2019-11-27,OBSESSION - The 6th Album,EXO,Obsession,81,129.992,0.704,0.729,0.0,0.71,k-pop
27,2019-12-02,OBSESSION - The 6th Album,EXO,Jekyll,70,99.986,0.721,0.57,0.0,0.472,k-pop
